datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-13 04:45:00,2021-01-12,bearish_choch,bearish,1.2212,1.22085,3.5,1.002,51,Tokyo,4,12.089999999997936,3.49,36.0,14.2,True,True,True
2021-01-13 06:15:00,2021-01-12,bullish_bos,bullish,1.2214,1.22165,2.5,0.6261,57,Tokyo,6,9.362000000001647,3.99,6.2,55.9,True,False,False
2021-01-13 07:15:00,2021-01-12,bullish_bos,bullish,1.22172,1.22192,2.0,0.4698,61,Tokyo,7,7.694000000000312,4.26,3.5,58.6,False,False,False
2021-01-13 15:15:00,2021-01-12,bullish_choch,bullish,1.21748,1.21768,2.0,0.1819,12,New_York,15,-9.373999999999771,10.99,1.6,36.9,False,False,False
2021-01-14 00:00:00,2021-01-13,bullish_choch,bullish,1.21628,1.21651,2.3,0.4842,47,Tokyo,0,-4.303999999999419,4.75,6.7,29.6,True,False,False
2021-01-14 02:15:00,2021-01-13,bearish_choch,bearish,1.21626,1.2149,13.6,2.386,2,Tokyo,2,-0.48599999999954235,5.7,13.5,10.1,True,True,True
2021-01-14 05:30:00,2021-01-13,bullish_choch,bullish,1.21502,1.2151,0.8,0.1057,10,Tokyo,5,-3.4020000000012374,7.57,16.4,14.9,True,True,True
2021-01-14 08:30:00,2021-01-13,bullish_bos,bullish,1.21553,1.21587,3.4,0.4224,9,London,8,-2.4000000000001798,8.05,8.7,47.7,True,False,False
2021-01-14 09:30:00,2021-01-13,bullish_bos,bullish,1.21627,1.21631,0.4,0.044,13,London,9,-0.7620000000008176,9.09,4.3,52.1,False,False,False
2021-01-14 11:15:00,2021-01-13,bearish_choch,bearish,1.21567,1.2154,2.7,0.301,20,London,11,0.9059999999982971,8.97,43.0,4.6,True,True,True
2021-01-14 15:45:00,2021-01-13,bullish_choch,bullish,1.21286,1.21354,6.8,0.5607,8,New_York,15,-6.940000000001945,12.13,43.0,3.1,True,True,True
2021-01-14 17:45:00,2021-01-13,bullish_bos,bullish,1.21586,1.21654,6.8,0.6761,2,New_York,17,0.5279999999996399,10.06,12.0,18.8,True,False,False
2021-01-14 23:30:00,2021-01-14,bearish_choch,bearish,1.21518,1.21513,0.5,0.1252,25,Off_Hours,23,-1.3899999999988921,3.99,12.7,11.1,True,True,True
2021-01-15 01:00:00,2021-01-14,bearish_bos,bearish,1.215,1.21492,0.8,0.1801,3,Tokyo,1,-0.32200000000148776,4.44,15.4,5.4,True,True,True
2021-01-15 02:00:00,2021-01-14,bearish_bos,bearish,1.21484,1.21469,1.5,0.3376,7,Tokyo,2,2.725999999999562,4.44,29.2,7.7,True,True,True
2021-01-15 05:15:00,2021-01-14,bearish_bos,bearish,1.21434,1.21415,1.9,0.4742,20,Tokyo,5,3.054000000000112,4.01,23.8,5.1,True,True,True
2021-01-15 07:15:00,2021-01-14,bullish_choch,bullish,1.21439,1.21444,0.5,0.1079,28,Tokyo,7,-2.869999999999262,4.64,2.2,30.6,False,False,False
2021-01-15 08:00:00,2021-01-14,bearish_bos,bearish,1.21338,1.21252,8.6,1.3231,31,London,8,-3.553999999998947,6.5,19.5,19.1,True,True,True
2021-01-15 11:45:00,2021-01-14,bearish_choch,bearish,1.21248,1.21233,1.5,0.1778,1,London,11,-4.294000000000242,8.44,41.7,9.6,True,True,True
2021-01-15 14:00:00,2021-01-14,bearish_bos,bearish,1.21138,1.21109,2.9,0.3309,0,New_York,14,-6.492000000000164,8.76,34.6,6.8,True,True,True
2021-01-15 18:45:00,2021-01-14,bearish_bos,bearish,1.20816,1.20805,1.1,0.1421,19,Off_Hours,18,-10.804000000002034,7.74,15.6,6.0,True,True,True
2021-01-15 19:45:00,2021-01-14,bearish_bos,bearish,1.20816,1.20767,4.9,0.8245,23,Off_Hours,19,-11.376000000000719,5.94,11.8,9.8,True,False,True
2021-01-15 21:15:00,2021-01-14,bearish_bos,bearish,1.20763,1.20755,0.8,0.1689,29,Off_Hours,21,-10.92599999999777,4.74,10.6,11.0,True,True,False
2021-01-17 23:15:00,2021-01-17,bullish_choch,bullish,1.20838,1.20839,0.1,0.0254,37,Off_Hours,23,-11.289999999999356,3.94,0.5,19.0,False,False,False
